Unnamed: 0,projectID,condition,reference_condition,title,geo_accession,status,submission_date,last_update_date
GSM313729,102625,9043_microaerobiosis_PSY,110spc4_aerobic _PSY,9043 microaerobiosis PSY 3,GSM313729,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313731,102625,9043_microaerobiosis_PSY,110spc4_aerobic _PSY,9043 microaerobiosis PSY 5,GSM313731,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313733,102625,9043_microaerobiosis_PSY,110spc4_aerobic _PSY,9043 microaerobiosis PSY 7,GSM313733,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313734,102625,9043_microaerobiosis_PSY,110spc4_aerobic _PSY,9043 microaerobiosis PSY 8,GSM313734,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313735,102625,7454_microaerobiosis_PSY,110spc4_aerobic _PSY,7454 microaerobiosis PSY 1,GSM313735,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313736,102625,7454_microaerobiosis_PSY,110spc4_aerobic _PSY,7454 microaerobiosis PSY 2,GSM313736,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313737,102625,7454_microaerobiosis_PSY,110spc4_aerobic _PSY,7454 microaerobiosis PSY 3,GSM313737,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313738,102625,7454_microaerobiosis_PSY,110spc4_aerobic _PSY,7454 microaerobiosis PSY 4,GSM313738,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313739,102625,7454_microaerobiosis_PSY,110spc4_aerobic _PSY,7454 microaerobiosis PSY 5,GSM313739,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313740,102625,7454_microaerobiosis_PSY,110spc4_aerobic _PSY,7454 microaerobiosis PSY 6,GSM313740,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313741,102625,110spc4_anoxic_YEM,110spc4_aerobic _PSY,110spc4 anoxic YEM 1,GSM313741,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313742,102625,110spc4_anoxic_YEM,110spc4_aerobic _PSY,110spc4 anoxic YEM 2,GSM313742,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313743,102625,110spc4_anoxic_YEM,110spc4_aerobic _PSY,110spc4 anoxic YEM 3,GSM313743,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313744,102625,110spc4_anoxic_YEM,110spc4_aerobic _PSY,110spc4 anoxic YEM 4,GSM313744,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313745,102625,110spc4_anoxic_YEM,110spc4_aerobic _PSY,110spc4 anoxic YEM 5,GSM313745,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313746,102625,110spc4_anoxic_YEM,110spc4_aerobic _PSY,110spc4 anoxic YEM 6,GSM313746,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313747,102625,110spc4_anoxic_YEM,110spc4_aerobic _PSY,110spc4 anoxic YEM 7,GSM313747,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313748,102625,110spc4_anoxic_YEM,110spc4_aerobic _PSY,110spc4 anoxic YEM 8,GSM313748,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313749,102625,110spc4_anoxic_YEM,110spc4_aerobic _PSY,110spc4 anoxic YEM 9,GSM313749,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313750,102625,110spc4_anoxic_YEM,110spc4_aerobic _PSY,110spc4 anoxic YEM 10,GSM313750,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313751,102625,110spc4_anoxic_YEM,110spc4_aerobic _PSY,110spc4 anoxic YEM 11,GSM313751,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313752,102625,110spc4_anoxic_YEM,110spc4_aerobic _PSY,110spc4 anoxic YEM 12,GSM313752,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313753,102625,110spc4_anoxic_YEM,110spc4_aerobic _PSY,110spc4 anoxic YEM 13,GSM313753,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313754,102625,7454_anoxic_YEM,110spc4_aerobic _PSY,7454 anoxic YEM 1,GSM313754,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313755,102625,7454_anoxic_YEM,110spc4_aerobic _PSY,7454 anoxic YEM 2,GSM313755,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313756,102625,7454_anoxic_YEM,110spc4_aerobic _PSY,7454 anoxic YEM 3,GSM313756,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313757,102625,7454_anoxic_YEM,110spc4_aerobic _PSY,7454 anoxic YEM 4,GSM313757,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313758,102625,7454_anoxic_YEM,110spc4_aerobic _PSY,7454 anoxic YEM 5,GSM313758,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313759,102625,7454_anoxic_YEM,110spc4_aerobic _PSY,7454 anoxic YEM 6,GSM313759,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313766,102625,A9_anoxic_YEM,110spc4_aerobic _PSY,A9 anoxic YEM 1,GSM313766,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313767,102625,A9_anoxic_YEM,110spc4_aerobic _PSY,A9 anoxic YEM 2,GSM313767,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313768,102625,A9_anoxic_YEM,110spc4_aerobic _PSY,A9 anoxic YEM 3,GSM313768,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313769,102625,A9_anoxic_YEM,110spc4_aerobic _PSY,A9 anoxic YEM 4,GSM313769,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313770,102625,A9_anoxic_YEM,110spc4_aerobic _PSY,A9 anoxic YEM 5,GSM313770,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
